TimeStep,Station_PM,Occupancy
1,0,0.0297
1,11,0.0148
1,13,0.0085
1,17,0.0229
1,21,0.0335
1,23,0.0065
1,32,0.0113
1,35,0.0082
1,26,0.0189
1,44,0.004
1,46,0.0039
1,51,0.0052
1,56,0.0047
1,62,0.0025
1,69,0.0176
1,75,0.0062
1,3,0.0554
2,0,0.0255
2,11,0.0152
2,13,0.0072
2,17,0.0219
2,21,0.031
2,23,0.0043
2,32,0.0108
2,35,0.0069
2,26,0.0165
2,44,0.0019
2,46,0.0023
2,51,0.0021
2,56,0.0028
2,62,0.0033
2,69,0.0186
2,75,0.0046
2,3,0.056
3,0,0.0404
3,11,0.0165
3,13,0.0101
3,17,0.0251
3,21,0.0351
3,23,0.0087
3,32,0.0101
3,35,0.0105
3,26,0.0155
3,44,0.0045
3,46,0.0046
3,51,0.0052
3,56,0.0052
3,62,0.0037
3,69,0.0176
3,75,0.0043
3,3,0.0772
4,0,0.0191
4,11,0.0148
4,13,0.0086
4,17,0.0228
4,21,0.0311
4,23,0.0046
4,32,0.0095
4,35,0.0074
4,26,0.0151
4,44,0.0027
4,46,0.0026
4,51,0.0025
4,56,0.0022
4,62,0.0013
4,69,0.017
4,75,0.0025
4,3,0.0384
5,0,0.0292
5,11,0.0123
5,13,0.0075
5,17,0.0219
5,21,0.0315
5,23,0.0058
5,32,0.0089
5,35,0.007
5,26,0.0176
5,44,0.0022
5,46,0.0021
5,51,0.0027
5,56,0.0034
5,62,0.0024
5,69,0.0176
5,75,0.0026
5,3,0.0584
6,0,0.0424
6,11,0.0092
6,13,0.0042
6,17,0.0174
6,21,0.0295
6,23,0.0032
6,32,0.0083
6,35,0.0121
6,26,0.0138
6,44,0.0033
6,46,0.0044
6,51,0.0061
6,56,0.0053
6,62,0.0046
6,69,0.0186
6,75,0.0079
6,3,0.0883
7,0,0.0297
7,11,0.0165
7,13,0.008
7,17,0.0225
7,21,0.0333
7,23,0.0068
7,32,0.0078
7,35,0.0119
7,26,0.018
7,44,0.0035
7,46,0.0038
7,51,0.0044
7,56,0.004
7,62,0.0013
7,69,0.0168
7,75,0.0024
7,3,0.0543
8,0,0.0169
8,11,0.0129
8,13,0.0069
8,17,0.0213
8,21,0.0318
8,23,0.0053
8,32,0.0073
8,35,0.0039
8,26,0.0176
8,44,0.0033
8,46,0.0035
8,51,0.0036
8,56,0.0042
8,62,0.0039
8,69,0.0186
8,75,0.0066
8,3,0.0348
9,0,0.0149
9,11,0.01
9,13,0.0045
9,17,0.0179
9,21,0.0301
9,23,0.0041
9,32,0.0068
9,35,0.0038
9,26,0.0152
9,44,0.0023
9,46,0.0026
9,51,0.004
9,56,0.0039
9,62,0.0026
9,69,0.0172
9,75,0.0047
9,3,0.0316
10,0,0.0465
10,11,0.014
10,13,0.0077
10,17,0.0223
10,21,0.0329
10,23,0.0062
10,32,0.0064
10,35,0.0063
10,26,0.0197
10,44,0.0037
10,46,0.0405
10,51,0.0038
10,56,0.0034
10,62,0.0019
10,69,0.0181
10,75,0.0034
10,3,0.0951
11,0,0.0468
11,11,0.0115
11,13,0.0047
11,17,0.0187
11,21,0.0303
11,23,0.0039
11,32,0.0059
