TimeStep,Station_PM,Occupancy
1,0,0.0297
1,1,
1,2,
1,3,0.0554
1,4,
1,5,
1,6,
1,7,
1,8,
1,9,
1,10,
1,11,0.0148
1,12,
1,13,0.0085
1,14,
1,15,
1,16,
1,17,0.0229
1,18,
1,19,
1,20,
1,21,0.0335
1,22,
1,23,0.0065
1,24,
1,25,
1,26,0.0189
1,27,
1,28,
1,29,
1,30,
1,31,
1,32,0.0113
1,33,
1,34,
1,35,0.0082
1,36,
1,37,
1,38,
1,39,
1,40,
1,41,
1,42,
1,43,
1,44,0.004
1,45,
1,46,0.0039
1,47,
1,48,
1,49,
1,50,
1,51,0.0052
1,52,
1,53,
1,54,
1,55,
1,56,0.0047
1,57,
1,58,
1,59,
1,60,
1,61,
1,62,0.0025
1,63,
1,64,
1,65,
1,66,
1,67,
1,68,
1,69,0.0176
1,70,
1,71,
1,72,
1,73,
1,74,
1,75,0.0062
2,0,0.0255
2,1,
2,2,
2,3,0.056
2,4,
2,5,
2,6,
2,7,
2,8,
2,9,
2,10,
2,11,0.0152
2,12,
2,13,0.0072
2,14,
2,15,
2,16,
2,17,0.0219
2,18,
2,19,
2,20,
2,21,0.031
2,22,
2,23,0.0043
2,24,
2,25,
2,26,0.0165
2,27,
2,28,
2,29,
2,30,
2,31,
2,32,0.0108
2,33,
2,34,
2,35,0.0069
2,36,
2,37,
2,38,
2,39,
2,40,
2,41,
2,42,
2,43,
2,44,0.0019
2,45,
2,46,0.0023
2,47,
2,48,
2,49,
2,50,
2,51,0.0021
2,52,
2,53,
2,54,
2,55,
2,56,0.0028
2,57,
2,58,
2,59,
2,60,
2,61,
2,62,0.0033
2,63,
2,64,
2,65,
2,66,
2,67,
2,68,
2,69,0.0186
2,70,
2,71,
2,72,
2,73,
2,74,
2,75,0.0046
3,0,0.0404
3,1,
3,2,
3,3,0.0772
3,4,
3,5,
3,6,
3,7,
3,8,
3,9,
3,10,
3,11,0.0165
3,12,
3,13,0.0101
3,14,
3,15,
3,16,
3,17,0.0251
3,18,
3,19,
3,20,
3,21,0.0351
3,22,
3,23,0.0087
3,24,
3,25,
3,26,0.0155
3,27,
3,28,
3,29,
3,30,
3,31,
3,32,0.0101
3,33,
3,34,
3,35,0.0105
3,36,
3,37,
3,38,
3,39,
3,40,
3,41,
3,42,
3,43,
3,44,0.0045
3,45,
3,46,0.0046
3,47,
3,48,
3,49,
3,50,
3,51,0.0052
3,52,
3,53,
3,54,
3,55,
3,56,0.0052
3,57,
3,58,
3,59,
3,60,
3,61,
3,62,0.0037
3,63,
3,64,
3,65,
3,66,
3,67,
3,68,
3,69,0.0176
3,70,
3,71,
3,72,
3,73,
3,74,
3,75,0.0043
4,0,0.0191
4,1,
4,2,
4,3,0.0384
4,4,
4,5,
4,6,
4,7,
4,8,
4,9,
4,10,
4,11,0.0148
4,12,
4,13,0.0086
4,14,
4,15,
4,16,
4,17,0.0228
4,18,
4,19,
4,20,
4,21,0.0311
4,22,
4,23,0.0046
4,24,
4,25,
4,26,0.0151
4,27,
4,28,
4,29,
4,30,
4,31,
4,32,0.0095
4,33,
4,34,
4,35,0.0074
4,36,
4,37,
4,38,
4,39,
4,40,
4,41,
4,42,
4,43,
4,44,0.0027
4,45,
4,46,0.0026
4,47,
4,48,
4,49,
4,50,
4,51,0.0025
4,52,
4,53,
4,54,
4,55,
4,56,0.0022
4,57,
4,58,
4,59,
