TimeStep,Station_PM,Speed
1,0,70.2
1,11,61.3
1,13,65.8
1,17,62.2
1,21,63.3
1,23,66.4
1,32,65.0
1,35,57.7
1,26,64.1
1,44,67.4
1,46,67.7
1,51,67.5
1,56,67.5
1,62,68.4
1,69,63.5
1,75,70.3
1,3,66.8
2,0,76.9
2,11,61.8
2,13,66.0
2,17,62.4
2,21,63.3
2,23,66.4
2,32,65.3
2,35,57.7
2,26,64.6
2,44,69.1
2,46,68.4
2,51,68.0
2,56,66.9
2,62,68.9
2,69,64.0
2,75,68.7
2,3,73.4
3,0,68.0
3,11,61.7
3,13,66.3
3,17,62.4
3,21,63.5
3,23,66.6
3,32,65.3
3,35,58.1
3,26,61.7
3,44,68.6
3,46,68.1
3,51,67.7
3,56,67.6
3,62,68.2
3,69,63.5
3,75,69.9
3,3,68.0
4,0,71.2
4,11,61.5
4,13,65.8
4,17,61.9
4,21,63.4
4,23,67.8
4,32,65.1
4,35,57.5
4,26,65.1
4,44,68.1
4,46,67.5
4,51,67.1
4,56,66.5
4,62,67.4
4,69,63.5
4,75,70.6
4,3,67.0
5,0,75.2
5,11,61.1
5,13,66.3
5,17,62.7
5,21,63.2
5,23,67.9
5,32,65.4
5,35,56.6
5,26,64.3
5,44,70.4
5,46,69.7
5,51,69.5
5,56,69.2
5,62,70.2
5,69,63.6
5,75,69.3
5,3,71.6
6,0,65.4
6,11,60.4
6,13,66.0
6,17,62.1
6,21,63.2
6,23,67.8
6,32,65.3
6,35,59.9
6,26,65.5
6,44,65.5
6,46,66.1
6,51,65.9
6,56,66.0
6,62,67.8
6,69,64.0
6,75,68.7
6,3,66.8
7,0,65.2
7,11,61.7
7,13,66.4
7,17,61.7
7,21,63.2
7,23,67.2
7,32,65.1
7,35,57.3
7,26,64.4
7,44,68.6
7,46,67.2
7,51,66.5
7,56,66.3
7,62,69.3
7,69,62.8
7,75,70.6
7,3,65.6
8,0,73.6
8,11,60.6
8,13,65.1
8,17,61.6
8,21,63.0
8,23,66.9
8,32,65.0
8,35,56.0
8,26,64.3
8,44,67.4
8,46,67.8
8,51,65.9
8,56,66.8
8,62,68.5
8,69,64.0
8,75,68.7
8,3,67.0
9,0,70.2
9,11,60.9
9,13,66.5
9,17,62.3
9,21,63.0
9,23,67.3
9,32,65.3
9,35,56.5
9,26,64.5
9,44,67.1
9,46,66.6
9,51,66.8
9,56,66.3
9,62,67.0
9,69,63.3
9,75,69.2
9,3,67.0
10,0,59.6
10,11,61.3
10,13,65.4
10,17,62.0
10,21,63.2
10,23,66.0
10,32,65.1
10,35,57.0
10,26,63.7
10,44,67.2
10,46,53.9
10,51,67.1
10,56,67.6
10,62,69.7
10,69,64.0
10,75,68.2
10,3,56.9
11,0,68.5
11,11,61.4
11,13,65.8
11,17,62.0
11,21,63.2
11,23,68.1
11,32,64.9
11,35,57.8
11,26,65.8
11,44,69.0
11,46,64.2
11,51,68.7
11,56,68.4
11,62,69.9
11,69,64.0
11,75,68.2
11,3,68.8
12,0,68.1
12,11,61.0
12,13,65.8
12,17,62.2
12,21,63.0
12,23,66.7
12,32,65.4
12,35,57.4
12,26,64.2
12,44,68.2
12,46,64.8
12,51,67.0
12,56,68.0
12,62,67.4
12,69,62.8
12,75,71.1
12,3,66.3
13,0,67.7
13,11,60.6
13,13,64.4
13,17,61.6
13,21,62.8
13,23,68.6
13,32,65.3
13,35,56.9
13,26,66.9
13,44,67.8
13,46,66.7
13,51,67.7
13,56,66.9
13,62,67.5
13,69,63.9
13,75,68.1
13,3,67.7
14,0,71.9
14,11,59.9
14,13,63.1
14,17,60.8
14,21,62.7
14,23,64.2
14,32,65.3
14,35,56.9
14,26,63.6
14,44,67.0
14,46,67.1
14,51,66.4
14,56,64.8
14,62,68.6
14,69,62.8
14,75,70.6
14,3,67.4
15,0,65.1
15,11,60.6
15,13,65.4
15,17,61.6
15,21,62.6
15,23,68.0
15,32,64.9
15,35,56.2
15,26,65.6
15,44,66.9
15,46,65.9
15,51,66.7
15,56,67.2
15,62,67.0
15,69,62.8
15,75,70.9
15,3,67.3
16,0,66.8
16,11,60.7
16,13,66.3
16,17,61.1
16,21,62.9
16,23,67.2
16,32,64.9
16,35,59.7
16,26,66.0
16,44,65.9
16,46,65.2
16,51,64.0
16,56,67.0
16,62,68.2
16,69,63.4
16,75,69.3
16,3,68.1
17,0,61.6
17,11,60.4
17,13,66.0
17,17,61.6
17,21,63.0
17,23,68.8
17,32,64.9
17,35,60.3
17,26,67.1
17,44,68.0
17,46,65.4
17,51,64.5
17,56,63.8
17,62,62.1
17,69,62.7
17,75,70.8
17,3,62.7
18,0,58.8
18,11,60.7
18,13,65.1
18,17,62.0
18,21,63.3
18,23,66.8
18,32,65.3
18,35,57.9
18,26,64.4
18,44,68.4
18,46,68.4
18,51,67.5
18,56,65.9
18,62,67.2
18,69,63.5
18,75,69.7
18,3,56.7
19,0,61.0
19,11,61.5
19,13,66.0
19,17,61.6
19,21,63.3
19,23,65.6
19,32,65.3
19,35,60.2
19,26,64.1
19,44,66.0
19,46,65.0
19,51,66.1
19,56,67.4
19,62,66.5
19,69,63.4
19,75,70.0
19,3,61.0
20,0,68.5
20,11,60.7
20,13,68.0
20,17,62.1
20,21,62.9
20,23,69.6
20,32,65.3
20,35,58.7
20,26,62.2
20,44,71.9
20,46,71.2
20,51,69.3
20,56,68.4
20,62,65.9
20,69,63.4
20,75,68.2
20,3,65.3
21,0,66.8
21,11,60.6
21,13,64.4
21,17,61.2
21,21,63.0
21,23,65.6
21,32,65.3
21,35,60.4
21,26,66.2
21,44,69.4
21,46,68.5
21,51,65.5
21,56,64.9
21,62,66.7
21,69,63.4
21,75,69.3
21,3,64.4
22,0,68.7
22,11,61.0
22,13,65.4
22,17,61.8
22,21,63.2
22,23,66.9
22,32,65.3
22,35,56.1
22,26,65.6
22,44,70.6
22,46,69.7
22,51,70.7
22,56,71.3
22,62,72.0
22,69,62.8
22,75,71.0
22,3,66.8
23,0,72.6
23,11,60.5
23,13,63.5
23,17,61.2
23,21,62.8
23,23,66.4
23,32,65.3
23,35,59.8
23,26,65.9
23,44,67.8
23,46,67.7
23,51,69.7
23,56,69.6
23,62,68.0
23,69,64.0
23,75,68.1
23,3,69.3
24,0,57.7
24,11,61.4
24,13,66.6
24,17,62.0
24,21,63.0
24,23,65.8
24,32,65.3
24,35,59.9
24,26,65.3
24,44,67.7
24,46,67.1
24,51,65.3
24,56,67.2
24,62,67.7
24,69,62.9
24,75,70.4
24,3,56.1
25,0,54.4
25,11,60.1
25,13,62.7
25,17,61.3
25,21,63.0
25,23,62.7
25,32,65.3
25,35,60.7
25,26,66.0
25,44,62.9
25,46,62.9
25,51,69.3
25,56,69.3
25,62,69.5
25,69,62.9
25,75,67.8
25,3,52.4
26,0,66.8
26,11,60.9
26,13,65.0
26,17,61.8
26,21,63.0
26,23,63.9
26,32,65.3
26,35,60.7
26,26,64.9
26,44,67.3
26,46,67.3
26,51,66.1
26,56,65.6
26,62,67.8
26,69,63.4
26,75,65.1
26,3,64.1
27,0,69.0
27,11,60.4
27,13,65.9
27,17,61.6
27,21,63.0
27,23,67.6
27,32,65.3
27,35,60.5
27,26,67.2
27,44,69.2
27,46,68.2
27,51,69.5
27,56,68.0
27,62,67.4
27,69,63.4
27,75,69.3
27,3,65.7
28,0,68.3
28,11,60.7
28,13,68.1
28,17,61.9
28,21,62.9
28,23,67.2
28,32,65.3
28,35,58.6
28,26,67.1
28,44,70.8
28,46,70.7
28,51,67.4
28,56,67.2
28,62,62.7
28,69,62.8
28,75,70.8
28,3,68.4
29,0,65.2
29,11,60.6
29,13,64.5
29,17,61.6
29,21,62.8
29,23,69.0
29,32,65.3
29,35,60.5
29,26,62.1
29,44,68.4
29,46,68.4
29,51,68.5
29,56,67.2
29,62,67.1
29,69,63.4
29,75,69.1
29,3,67.3
30,0,66.7
30,11,61.0
30,13,65.4
30,17,61.3
30,21,62.8
30,23,68.3
30,32,65.3
30,35,56.2
30,26,62.1
30,44,68.2
30,46,66.7
30,51,67.1
30,56,65.0
30,62,66.8
30,69,62.8
30,75,71.3
30,3,66.7
31,0,66.9
31,11,61.5
31,13,67.8
31,17,61.6
31,21,63.2
31,23,64.8
31,32,64.4
31,35,59.9
31,26,64.1
31,44,67.6
31,46,67.6
31,51,66.9
31,56,66.5
31,62,69.8
31,69,62.8
31,75,71.3
31,3,64.8
32,0,59.7
32,11,61.3
32,13,67.2
32,17,61.3
32,21,62.9
32,23,68.9
32,32,64.4
32,35,60.0
32,26,62.2
32,44,68.2
32,46,67.9
32,51,66.4
32,56,66.1
32,62,69.9
32,69,62.8
32,75,71.3
32,3,60.4
33,0,64.9
33,11,60.6
33,13,65.4
33,17,61.6
33,21,62.9
33,23,69.7
33,32,64.4
33,35,55.3
33,26,63.0
33,44,70.0
33,46,70.0
33,51,70.3
33,56,70.4
33,62,70.5
33,69,63.4
33,75,69.8
33,3,62.5
34,0,62.6
34,11,59.4
34,13,66.4
34,17,62.1
34,21,62.4
34,23,66.4
34,32,64.4
34,35,59.6
34,26,65.3
34,44,67.7
34,46,67.7
34,51,67.5
34,56,66.3
34,62,67.0
34,69,62.8
34,75,71.0
34,3,66.1
35,0,66.8
35,11,60.0
35,13,64.6
35,17,61.0
35,21,63.2
35,23,67.5
35,32,64.4
35,35,59.0
35,26,66.4
35,44,67.4
35,46,67.4
35,51,65.5
35,56,67.7
35,62,66.5
35,69,63.3
35,75,69.2
35,3,64.9
36,0,59.1
36,11,60.3
36,13,65.1
36,17,61.3
36,21,63.0
36,23,66.6
36,32,64.4
36,35,57.2
36,26,66.1
36,44,69.5
36,46,66.8
36,51,63.2
36,56,67.5
36,62,67.5
36,69,63.4
36,75,65.0
36,3,60.9
37,0,59.5
37,11,60.7
37,13,65.4
37,17,61.4
37,21,62.9
37,23,67.6
37,32,64.4
37,35,59.2
37,26,66.0
37,44,68.6
37,46,68.6
37,51,65.7
37,56,67.1
37,62,70.1
37,69,62.8
37,75,71.1
37,3,57.7
38,0,64.5
38,11,60.7
38,13,65.5
38,17,61.8
38,21,63.0
38,23,66.7
38,32,65.3
38,35,57.6
38,26,65.4
38,44,68.0
38,46,67.1
38,51,68.3
38,56,65.7
38,62,64.9
38,69,63.4
38,75,68.1
38,3,66.3
39,0,69.0
