TimeStep,Station_PM,Speed
1,294,62.1
1,181,65.5
1,152,67.0
1,118,65.1
1,286,66.7
1,281,68.2
1,276,70.0
1,272,65.2
1,258,64.4
1,256,66.5
1,252,70.0
1,224,70.0
1,216,68.0
1,208,71.8
1,207,70.8
1,201,68.0
1,192,70.6
1,186,68.0
1,173,69.9
1,144,66.1
1,124,64.2
1,122,64.5
1,109,69.4
1,107,64.3
1,97,64.7
1,89,69.7
1,74,69.3
1,136,63.9
1,99,70.3
1,79,69.2
1,199,67.4
1,297,65.1
1,23,69.9
1,0,69.9
1,17,55.0
1,5,66.2
1,12,68.2
1,7,71.3
1,10,71.1
1,45,34.8
1,157,65.0
1,175,67.3
1,247,63.3
1,234,68.2
1,268,65.8
1,264,70.2
1,226,71.9
1,229,62.9
1,212,71.6
1,196,70.0
1,220,70.0
1,170,64.4
1,148,66.6
1,77,67.0
1,161,67.5
1,132,63.3
1,128,66.5
1,117,64.4
1,92,66.4
1,69,64.6
1,65,65.1
1,22,70.4
1,52,65.7
1,60,66.4
1,56,69.8
1,58,70.4
1,75,68.9
2,294,62.7
2,181,65.6
2,152,69.1
2,118,69.0
2,286,74.1
2,281,68.8
2,276,69.7
2,272,64.6
2,258,65.8
2,256,66.7
2,252,69.7
2,224,69.7
2,216,68.4
2,208,71.0
2,207,72.2
2,201,68.4
2,192,70.6
2,186,68.2
2,173,71.2
2,144,67.9
2,124,65.1
2,122,64.5
2,109,67.7
2,107,62.8
2,97,63.6
2,89,68.3
2,74,68.0
2,136,64.3
2,99,67.4
2,79,68.1
2,199,67.2
2,297,64.9
2,23,70.8
2,0,67.9
2,17,66.2
2,5,65.2
2,12,68.4
2,7,71.0
2,10,70.6
2,45,31.4
2,157,66.3
2,175,67.9
2,247,62.0
2,234,65.6
2,268,66.2
2,264,70.1
2,226,69.3
2,229,61.7
2,212,70.2
2,196,69.1
2,220,69.7
2,170,64.9
2,148,70.5
2,77,65.6
2,161,67.7
2,132,63.9
2,128,66.2
2,117,64.4
2,92,64.8
2,69,64.3
2,65,64.9
2,22,69.8
2,52,64.9
2,60,68.1
2,56,70.9
2,58,71.7
2,75,68.2
3,294,62.7
3,181,65.5
3,152,70.6
3,118,46.8
3,286,71.8
3,281,68.8
3,276,69.6
3,272,64.5
3,258,65.9
3,256,64.7
3,252,69.6
