TimeStep,Station_PM,flow
1,0,19.0
1,1,21.0
1,2,
1,3,
1,4,17.0
1,5,
1,6,
1,7,18.0
1,8,
1,9,38.0
1,10,
1,11,31.0
1,12,
1,13,44.0
1,14,35.0
1,15,32.0
1,16,40.0
2,0,34.0
2,1,26.0
2,2,
2,3,
2,4,18.0
2,5,
2,6,
2,7,21.0
2,8,
2,9,27.0
2,10,
2,11,41.0
2,12,
2,13,29.0
2,14,41.0
2,15,43.0
2,16,30.0
3,0,27.0
3,1,35.0
3,2,
3,3,
3,4,21.0
3,5,
3,6,
3,7,26.0
3,8,
3,9,25.0
3,10,
3,11,25.0
3,12,
3,13,27.0
3,14,28.0
3,15,33.0
3,16,46.0
4,0,23.0
4,1,19.0
4,2,
4,3,
4,4,14.0
4,5,
4,6,
4,7,22.0
4,8,
4,9,16.0
4,10,
4,11,24.0
4,12,
4,13,33.0
4,14,34.0
4,15,34.0
4,16,25.0
5,0,17.0
5,1,16.0
5,2,
5,3,
5,4,36.0
5,5,
5,6,
5,7,19.0
5,8,
5,9,36.0
5,10,
5,11,20.0
5,12,
5,13,29.0
5,14,32.0
5,15,29.0
5,16,37.0
6,0,24.0
6,1,16.0
6,2,
6,3,
6,4,33.0
6,5,
6,6,
6,7,27.0
6,8,
6,9,20.0
6,10,
6,11,36.0
6,12,
6,13,22.0
6,14,24.0
6,15,28.0
6,16,27.0
7,0,23.0
7,1,22.0
7,2,
7,3,
7,4,18.0
7,5,
7,6,
7,7,32.0
7,8,
7,9,25.0
7,10,
7,11,21.0
7,12,
7,13,22.0
7,14,18.0
7,15,26.0
7,16,29.0
8,0,18.0
8,1,25.0
8,2,
8,3,
8,4,20.0
8,5,
8,6,
8,7,16.0
8,8,
8,9,29.0
8,10,
8,11,22.0
8,12,
8,13,32.0
8,14,26.0
8,15,23.0
8,16,22.0
9,0,21.0
9,1,15.0
9,2,
9,3,
9,4,19.0
9,5,
9,6,
9,7,24.0
9,8,
9,9,27.0
9,10,
9,11,39.0
9,12,
9,13,21.0
9,14,25.0
9,15,30.0
9,16,25.0
10,0,20.0
10,1,27.0
10,2,
10,3,
10,4,15.0
10,5,
10,6,
10,7,15.0
10,8,
10,9,14.0
10,10,
10,11,24.0
10,12,
10,13,31.0
10,14,29.0
10,15,23.0
10,16,32.0
11,0,24.0
11,1,19.0
11,2,
11,3,
11,4,24.0
11,5,
11,6,
11,7,24.0
11,8,
11,9,29.0
11,10,
11,11,13.0
11,12,
11,13,24.0
11,14,27.0
11,15,30.0
11,16,26.0
12,0,26.0
12,1,20.0
12,2,
12,3,
12,4,29.0
12,5,
12,6,
12,7,17.0
12,8,
12,9,22.0
12,10,
12,11,21.0
12,12,
12,13,18.0
12,14,22.0
12,15,25.0
12,16,27.0
13,0,25.0
13,1,27.0
13,2,
13,3,
13,4,19.0
13,5,
13,6,
13,7,27.0
13,8,
13,9,22.0
13,10,
13,11,22.0
13,12,
13,13,23.0
13,14,12.0
13,15,19.0
13,16,18.0
14,0,20.0
14,1,27.0
14,2,
14,3,
14,4,22.0
14,5,
14,6,
14,7,19.0
14,8,
14,9,19.0
14,10,
14,11,22.0
14,12,
14,13,19.0
14,14,22.0
14,15,19.0
14,16,19.0
15,0,21.0
15,1,16.0
15,2,
15,3,
15,4,29.0
15,5,
15,6,
15,7,12.0
15,8,
15,9,21.0
15,10,
15,11,26.0
15,12,
15,13,21.0
15,14,19.0
15,15,24.0
15,16,24.0
16,0,25.0
16,1,20.0
16,2,
16,3,
16,4,27.0
16,5,
16,6,
16,7,28.0
16,8,
16,9,26.0
16,10,
16,11,14.0
16,12,
16,13,19.0
16,14,23.0
16,15,20.0
16,16,20.0
17,0,27.0
17,1,23.0
17,2,
17,3,
17,4,11.0
17,5,
17,6,
17,7,19.0
17,8,
17,9,22.0
17,10,
17,11,25.0
17,12,
17,13,21.0
17,14,26.0
17,15,19.0
17,16,21.0
18,0,18.0
18,1,23.0
18,2,
18,3,
18,4,18.0
18,5,
18,6,
18,7,21.0
18,8,
18,9,30.0
18,10,
18,11,25.0
18,12,
18,13,19.0
18,14,11.0
18,15,25.0
18,16,25.0
19,0,32.0
19,1,22.0
19,2,
19,3,
19,4,26.0
19,5,
19,6,
19,7,16.0
19,8,
19,9,23.0
19,10,
19,11,28.0
19,12,
19,13,21.0
19,14,15.0
19,15,14.0
19,16,14.0
20,0,13.0
20,1,22.0
20,2,
20,3,
20,4,20.0
20,5,
20,6,
20,7,17.0
20,8,
20,9,21.0
20,10,
20,11,15.0
20,12,
20,13,27.0
20,14,19.0
20,15,25.0
20,16,25.0
21,0,13.0
21,1,13.0
21,2,
21,3,
21,4,21.0
21,5,
21,6,
21,7,24.0
21,8,
21,9,23.0
21,10,
21,11,22.0
21,12,
21,13,23.0
21,14,30.0
21,15,27.0
21,16,25.0
22,0,17.0
22,1,17.0
22,2,
22,3,
22,4,24.0
22,5,
22,6,
22,7,14.0
22,8,
22,9,29.0
22,10,
22,11,24.0
22,12,
22,13,20.0
22,14,22.0
22,15,23.0
22,16,27.0
23,0,13.0
23,1,15.0
23,2,
23,3,
23,4,12.0
23,5,
23,6,
23,7,24.0
23,8,
23,9,12.0
23,10,
23,11,33.0
23,12,
23,13,25.0
23,14,20.0
23,15,22.0
23,16,23.0
24,0,19.0
24,1,14.0
24,2,
24,3,
24,4,15.0
24,5,
24,6,
24,7,20.0
24,8,
24,9,25.0
24,10,
24,11,12.0
24,12,
24,13,23.0
24,14,17.0
24,15,30.0
24,16,26.0
25,0,19.0
25,1,16.0
25,2,
25,3,
25,4,17.0
25,5,
25,6,
25,7,14.0
25,8,
25,9,26.0
25,10,
25,11,18.0
25,12,
25,13,31.0
25,14,32.0
25,15,21.0
25,16,23.0
26,0,16.0
26,1,21.0
26,2,
26,3,
26,4,14.0
26,5,
26,6,
26,7,14.0
26,8,
26,9,14.0
26,10,
26,11,26.0
26,12,
26,13,9.0
26,14,13.0
26,15,29.0
26,16,34.0
27,0,24.0
27,1,20.0
27,2,
27,3,
27,4,20.0
27,5,
27,6,
27,7,21.0
27,8,
27,9,19.0
27,10,
27,11,16.0
27,12,
27,13,25.0
27,14,22.0
27,15,15.0
27,16,19.0
28,0,20.0
28,1,25.0
28,2,
28,3,
28,4,20.0
28,5,
28,6,
28,7,21.0
28,8,
28,9,16.0
28,10,
28,11,17.0
28,12,
28,13,20.0
28,14,21.0
28,15,27.0
28,16,19.0
29,0,20.0
29,1,16.0
29,2,
29,3,
29,4,21.0
29,5,
29,6,
29,7,12.0
29,8,
29,9,19.0
29,10,
29,11,16.0
29,12,
29,13,15.0
29,14,20.0
29,15,17.0
29,16,23.0
30,0,17.0
30,1,22.0
30,2,
30,3,
30,4,19.0
30,5,
30,6,
30,7,22.0
30,8,
30,9,30.0
30,10,
30,11,16.0
30,12,
30,13,13.0
30,14,13.0
30,15,16.0
30,16,20.0
31,0,13.0
31,1,14.0
31,2,
31,3,
31,4,20.0
31,5,
31,6,
31,7,19.0
31,8,
31,9,17.0
31,10,
31,11,26.0
31,12,
31,13,19.0
31,14,12.0
31,15,14.0
31,16,19.0
32,0,19.0
32,1,15.0
32,2,
32,3,
32,4,22.0
32,5,
32,6,
32,7,19.0
32,8,
32,9,26.0
32,10,
32,11,14.0
32,12,
32,13,27.0
32,14,22.0
32,15,19.0
32,16,14.0
33,0,26.0
33,1,21.0
33,2,
33,3,
33,4,14.0
33,5,
33,6,
33,7,13.0
33,8,
33,9,24.0
33,10,
33,11,24.0
33,12,
33,13,11.0
33,14,28.0
33,15,27.0
33,16,22.0
34,0,21.0
34,1,13.0
34,2,
34,3,
34,4,14.0
34,5,
34,6,
34,7,24.0
34,8,
34,9,17.0
34,10,
34,11,22.0
34,12,
34,13,22.0
34,14,21.0
34,15,15.0
34,16,32.0
35,0,21.0
35,1,30.0
35,2,
35,3,
35,4,25.0
35,5,
35,6,
35,7,13.0
35,8,
35,9,22.0
35,10,
35,11,20.0
35,12,
35,13,18.0
35,14,16.0
35,15,24.0
35,16,19.0
36,0,10.0
36,1,14.0
36,2,
36,3,
36,4,22.0
36,5,
36,6,
36,7,23.0
36,8,
36,9,26.0
36,10,
36,11,26.0
36,12,
36,13,17.0
36,14,19.0
36,15,17.0
36,16,12.0
37,0,15.0
37,1,10.0
37,2,
37,3,
37,4,27.0
37,5,
37,6,
37,7,22.0
37,8,
37,9,22.0
37,10,
37,11,19.0
37,12,
37,13,19.0
37,14,16.0
37,15,20.0
37,16,21.0
38,0,19.0
38,1,16.0
38,2,
38,3,
38,4,15.0
38,5,
38,6,
38,7,27.0
38,8,
38,9,25.0
38,10,
38,11,23.0
38,12,
38,13,27.0
38,14,22.0
38,15,15.0
38,16,15.0
39,0,17.0
39,1,22.0
39,2,
39,3,
39,4,13.0
39,5,
39,6,
39,7,23.0
39,8,
39,9,26.0
39,10,
39,11,23.0
39,12,
39,13,29.0
39,14,27.0
39,15,29.0
39,16,24.0
40,0,10.0
40,1,10.0
40,2,
40,3,
40,4,15.0
40,5,
40,6,
40,7,11.0
40,8,
40,9,20.0
40,10,
40,11,29.0
40,12,
40,13,16.0
40,14,22.0
40,15,19.0
40,16,29.0
41,0,13.0
41,1,14.0
41,2,
41,3,
41,4,18.0
41,5,
41,6,
41,7,17.0
41,8,
41,9,18.0
41,10,
41,11,15.0
41,12,
41,13,20.0
41,14,21.0
41,15,25.0
41,16,22.0
42,0,22.0
42,1,15.0
42,2,
42,3,
42,4,12.0
42,5,
42,6,
42,7,16.0
42,8,
42,9,12.0
42,10,
42,11,22.0
42,12,
42,13,31.0
42,14,29.0
42,15,20.0
42,16,22.0
43,0,10.0
43,1,15.0
43,2,
43,3,
43,4,12.0
43,5,
43,6,
43,7,19.0
43,8,
43,9,20.0
43,10,
43,11,12.0
43,12,
43,13,16.0
43,14,19.0
43,15,32.0
43,16,26.0
44,0,25.0
44,1,17.0
44,2,
44,3,
44,4,17.0
44,5,
44,6,
44,7,10.0
44,8,
44,9,22.0
44,10,
44,11,21.0
44,12,
44,13,14.0
