TimeStep,Station_PM,flow
1,0,10.0
1,1,14.0
1,2,
1,3,
1,4,10.0
1,5,
1,6,
1,7,16.0
1,8,
1,9,28.0
1,10,
1,11,23.0
1,12,
1,13,32.0
1,14,18.0
1,15,22.0
1,16,23.0
2,0,22.0
2,1,12.0
2,2,
2,3,
2,4,18.0
2,5,
2,6,
2,7,14.0
2,8,
2,9,17.0
2,10,
2,11,25.0
2,12,
2,13,26.0
2,14,35.0
2,15,20.0
2,16,28.0
3,0,21.0
3,1,21.0
3,2,
3,3,
3,4,7.0
3,5,
3,6,
3,7,9.0
3,8,
3,9,20.0
3,10,
3,11,24.0
3,12,
3,13,15.0
3,14,23.0
3,15,33.0
3,16,19.0
4,0,24.0
4,1,14.0
4,2,
4,3,
4,4,14.0
4,5,
4,6,
4,7,12.0
4,8,
4,9,18.0
4,10,
4,11,14.0
4,12,
4,13,17.0
4,14,16.0
4,15,25.0
4,16,33.0
5,0,9.0
5,1,30.0
5,2,
5,3,
5,4,12.0
5,5,
5,6,
5,7,22.0
5,8,
5,9,14.0
5,10,
5,11,20.0
5,12,
5,13,24.0
5,14,28.0
5,15,15.0
5,16,23.0
6,0,17.0
6,1,10.0
6,2,
6,3,
6,4,9.0
6,5,
6,6,
6,7,14.0
6,8,
6,9,9.0
6,10,
6,11,15.0
6,12,
6,13,19.0
6,14,18.0
6,15,27.0
6,16,15.0
7,0,14.0
7,1,10.0
7,2,
7,3,
7,4,20.0
7,5,
7,6,
7,7,11.0
7,8,
7,9,29.0
7,10,
7,11,17.0
7,12,
7,13,21.0
7,14,20.0
7,15,19.0
7,16,23.0
8,0,11.0
8,1,9.0
8,2,
8,3,
8,4,32.0
8,5,
8,6,
8,7,12.0
8,8,
8,9,15.0
8,10,
8,11,13.0
8,12,
8,13,13.0
8,14,21.0
8,15,19.0
8,16,22.0
9,0,16.0
9,1,13.0
9,2,
9,3,
9,4,17.0
9,5,
9,6,
9,7,23.0
9,8,
9,9,12.0
9,10,
9,11,26.0
9,12,
9,13,17.0
9,14,15.0
9,15,19.0
9,16,19.0
10,0,17.0
10,1,16.0
10,2,
10,3,
10,4,7.0
10,5,
10,6,
10,7,20.0
10,8,
10,9,11.0
10,10,
10,11,14.0
10,12,
10,13,15.0
10,14,13.0
10,15,18.0
10,16,18.0
11,0,13.0
11,1,18.0
11,2,
11,3,
11,4,17.0
11,5,
11,6,
11,7,21.0
11,8,
11,9,27.0
11,10,
11,11,11.0
11,12,
11,13,20.0
11,14,13.0
11,15,13.0
11,16,21.0
12,0,11.0
12,1,13.0
12,2,
12,3,
12,4,14.0
12,5,
12,6,
12,7,7.0
12,8,
12,9,16.0
12,10,
12,11,18.0
12,12,
12,13,19.0
12,14,18.0
12,15,18.0
12,16,12.0
13,0,15.0
13,1,10.0
13,2,
13,3,
13,4,10.0
13,5,
13,6,
13,7,15.0
13,8,
13,9,23.0
13,10,
13,11,27.0
13,12,
13,13,14.0
13,14,19.0
13,15,17.0
13,16,15.0
14,0,14.0
14,1,19.0
14,2,
14,3,
14,4,17.0
14,5,
14,6,
14,7,15.0
14,8,
14,9,8.0
14,10,
14,11,20.0
14,12,
14,13,16.0
14,14,12.0
14,15,20.0
14,16,21.0
15,0,12.0
15,1,13.0
15,2,
15,3,
15,4,7.0
15,5,
15,6,
15,7,9.0
15,8,
15,9,10.0
15,10,
15,11,16.0
15,12,
15,13,22.0
15,14,23.0
15,15,16.0
15,16,21.0
16,0,14.0
16,1,10.0
16,2,
16,3,
16,4,14.0
16,5,
16,6,
16,7,20.0
16,8,
16,9,24.0
16,10,
16,11,5.0
16,12,
16,13,18.0
16,14,18.0
16,15,22.0
16,16,14.0
17,0,16.0
17,1,13.0
17,2,
17,3,
17,4,19.0
17,5,
17,6,
17,7,7.0
17,8,
17,9,9.0
17,10,
17,11,16.0
17,12,
17,13,17.0
17,14,15.0
17,15,19.0
17,16,25.0
18,0,20.0
18,1,16.0
18,2,
18,3,
18,4,20.0
18,5,
18,6,
18,7,14.0
18,8,
18,9,18.0
18,10,
18,11,13.0
18,12,
18,13,7.0
18,14,16.0
18,15,14.0
18,16,14.0
19,0,17.0
19,1,20.0
19,2,
19,3,
19,4,15.0
19,5,
19,6,
19,7,17.0
19,8,
19,9,9.0
19,10,
19,11,16.0
19,12,
19,13,12.0
19,14,6.0
19,15,14.0
19,16,16.0
20,0,17.0
20,1,17.0
20,2,
20,3,
20,4,11.0
20,5,
20,6,
20,7,16.0
20,8,
20,9,18.0
20,10,
20,11,14.0
20,12,
20,13,14.0
20,14,15.0
20,15,10.0
20,16,10.0
21,0,11.0
21,1,17.0
21,2,
21,3,
21,4,15.0
21,5,
21,6,
21,7,13.0
21,8,
21,9,14.0
21,10,
21,11,14.0
21,12,
21,13,16.0
21,14,13.0
21,15,14.0
21,16,11.0
22,0,17.0
22,1,8.0
22,2,
22,3,
22,4,20.0
22,5,
22,6,
22,7,10.0
22,8,
22,9,16.0
22,10,
22,11,19.0
22,12,
22,13,12.0
22,14,15.0
22,15,14.0
22,16,14.0
23,0,12.0
23,1,16.0
23,2,
23,3,
23,4,15.0
23,5,
23,6,
23,7,13.0
23,8,
23,9,11.0
23,10,
23,11,14.0
23,12,
23,13,13.0
23,14,15.0
23,15,17.0
23,16,18.0
24,0,17.0
24,1,12.0
24,2,
24,3,
24,4,21.0
24,5,
24,6,
24,7,17.0
24,8,
24,9,20.0
24,10,
24,11,7.0
24,12,
24,13,15.0
24,14,12.0
24,15,13.0
24,16,12.0
25,0,19.0
25,1,19.0
25,2,
25,3,
25,4,6.0
25,5,
25,6,
25,7,14.0
25,8,
25,9,11.0
25,10,
25,11,17.0
25,12,
25,13,18.0
25,14,16.0
25,15,12.0
25,16,14.0
26,0,14.0
26,1,15.0
26,2,
26,3,
26,4,11.0
26,5,
26,6,
26,7,16.0
26,8,
26,9,22.0
26,10,
26,11,10.0
26,12,
26,13,9.0
26,14,11.0
26,15,16.0
26,16,15.0
27,0,12.0
27,1,12.0
27,2,
27,3,
27,4,12.0
27,5,
27,6,
27,7,10.0
27,8,
27,9,19.0
27,10,
27,11,23.0
27,12,
27,13,13.0
27,14,10.0
27,15,16.0
27,16,17.0
28,0,20.0
28,1,14.0
28,2,
28,3,
28,4,17.0
28,5,
28,6,
28,7,10.0
28,8,
28,9,15.0
28,10,
28,11,19.0
28,12,
28,13,15.0
28,14,12.0
28,15,9.0
28,16,10.0
29,0,18.0
29,1,16.0
29,2,
29,3,
29,4,22.0
29,5,
29,6,
29,7,10.0
29,8,
29,9,13.0
29,10,
