TimeStep,Station_PM,Occupancy
1441,26,0.0165
1441,27,0.0158
1441,22,0.0277
1441,11,0.0214
1441,4,0.0227
1441,0,0.0386
1441,15,0.0259
1441,24,0.018
1441,3,0.0365
1441,12,0.0191
1441,25,0.016
1441,1,0.0301
1441,18,0.0173
1441,20,0.0191
1442,26,0.0219
1442,27,0.0149
1442,22,0.0152
1442,11,0.0258
1442,4,0.0221
1442,0,0.0393
1442,15,0.0222
1442,24,0.0272
1442,3,0.0351
1442,12,0.0158
1442,25,0.0214
1442,1,0.0353
1442,18,0.0309
1442,20,0.0254
1443,26,0.0221
1443,27,0.0324
1443,22,0.0192
1443,11,0.0236
1443,4,0.0227
1443,0,0.0356
1443,15,0.0188
1443,24,0.0169
1443,3,0.0324
1443,12,0.0215
1443,25,0.0169
1443,1,0.035
1443,18,0.0206
1443,20,0.0297
1444,26,0.0158
1444,27,0.0181
1444,22,0.0261
1444,11,0.0203
1444,4,0.0229
1444,0,0.0391
1444,15,0.0289
1444,24,0.0185
1444,3,0.0366
1444,12,0.0167
1444,25,0.0166
1444,1,0.0288
1444,18,0.0191
1444,20,0.0234
1445,26,0.0251
1445,27,0.0155
1445,22,0.0267
1445,11,0.0208
1445,4,0.0199
1445,0,0.0384
1445,15,0.0244
1445,24,0.0284
1445,3,0.032
1445,12,0.0169
1445,25,0.0198
1445,1,0.0318
1445,18,0.0336
1445,20,0.0237
1446,26,0.0214
1446,27,0.026
1446,22,0.0217
1446,11,0.0178
1446,4,0.0238
1446,0,0.0408
1446,15,0.0157
1446,24,0.0214
1446,3,0.0369
1446,12,0.0164
1446,25,0.0181
1446,1,0.0349
1446,18,0.0239
1446,20,0.0298
1447,26,0.0272
1447,27,0.0202
1447,22,0.0234
1447,11,0.0183
1447,4,0.0233
1447,0,0.0436
1447,15,0.0155
1447,24,0.024
1447,3,0.0373
1447,12,0.0183
1447,25,0.0194
1447,1,0.0328
1447,18,0.0199
1447,20,0.0219
1448,26,0.0234
1448,27,0.0274
1448,22,0.0281
1448,11,0.0212
1448,4,0.0208
1448,0,0.0405
1448,15,0.023
1448,24,0.0231
1448,3,0.0319
1448,12,0.0117
1448,25,0.0178
1448,1,0.0342
1448,18,0.0186
1448,20,0.0231
1449,26,0.0193
1449,27,0.0165
1449,22,0.0215
1449,11,0.0258
1449,4,0.0186
1449,0,0.0333
1449,15,0.0158
1449,24,0.0261
1449,3,0.036
1449,12,0.0234
1449,25,0.0202
1449,1,0.0304
1449,18,0.0204
1449,20,0.0198
1450,26,0.0219
1450,27,0.0245
1450,22,0.0204
1450,11,0.0248
1450,4,0.0246
1450,0,0.0271
1450,15,0.0265
1450,24,0.0234
1450,3,0.0287
1450,12,0.0193
1450,25,0.0186
1450,1,0.027
1450,18,0.0123
1450,20,0.0264
1451,26,0.0268
1451,27,0.0238
1451,22,0.0224
1451,11,0.0219
1451,4,0.017
1451,0,0.0272
1451,15,0.0193
1451,24,0.0164
1451,3,0.0266
1451,12,0.0192
1451,25,0.0151
1451,1,0.0211
1451,18,0.0285
1451,20,0.0146
1452,26,0.0125
1452,27,0.0169
1452,22,0.016
1452,11,0.024
1452,4,0.0116
1452,0,0.0251
1452,15,0.0241
1452,24,0.0233
1452,3,0.0237
1452,12,0.0157
1452,25,0.0174
1452,1,0.0272
1452,18,0.0228
1452,20,0.0319
1453,26,0.0175
1453,27,0.0243
1453,22,0.0227
1453,11,0.0189
1453,4,0.0149
1453,0,0.0393
1453,15,0.0215
1453,24,0.0176
1453,3,0.0243
1453,12,0.0181
1453,25,0.0097
1453,1,0.0273
1453,18,0.0238
1453,20,0.0224
1454,26,0.0197
1454,27,0.0136
1454,22,0.0207
1454,11,0.0182
