TimeStep,Station_PM,occu
1,0,0.025750000000000002
1,1,0.036500000000000005
1,2,
1,3,
1,4,0.02625
1,5,
1,6,
1,7,0.051750000000000004
1,8,
1,9,0.094625
1,10,
1,11,0.055249999999999994
1,12,
1,13,0.0885
1,14,0.039
1,15,0.068125
1,16,0.059625000000000004
2,0,0.07225000000000001
2,1,0.03175
2,2,
2,3,
2,4,0.04925
2,5,
2,6,
2,7,0.05983333333333334
2,8,
2,9,0.057999999999999996
2,10,
2,11,0.079125
2,12,
2,13,0.07575
2,14,0.08374999999999999
2,15,0.056999999999999995
2,16,0.08675
3,0,0.07525
3,1,0.057249999999999995
3,2,
3,3,
3,4,0.022166666666666668
3,5,
3,6,
3,7,0.023
3,8,
3,9,0.0595
3,10,
3,11,0.08325
3,12,
3,13,0.035125
3,14,0.05025
3,15,0.088
3,16,0.043000000000000003
4,0,0.06125
4,1,0.039
4,2,
4,3,
4,4,0.042625
4,5,
4,6,
4,7,0.03975
4,8,
4,9,0.0545
4,10,
4,11,0.051625000000000004
4,12,
4,13,0.06916666666666667
4,14,0.032875
4,15,0.07425
4,16,0.0945
5,0,0.01975
5,1,0.070875
5,2,
5,3,
5,4,0.03987500000000001
5,5,
5,6,
5,7,0.057
5,8,
5,9,0.04
5,10,
5,11,0.057749999999999996
5,12,
5,13,0.084
5,14,0.06912499999999999
5,15,0.033
5,16,0.0555
6,0,0.044875
6,1,0.01975
6,2,
6,3,
6,4,0.02016666666666667
6,5,
6,6,
6,7,0.043000000000000003
6,8,
6,9,0.022375
6,10,
6,11,0.062875
6,12,
6,13,0.061625
6,14,0.045625
6,15,0.08725000000000001
6,16,0.039875
7,0,0.045125
7,1,0.017625
7,2,
7,3,
7,4,0.062375
7,5,
7,6,
7,7,0.028874999999999998
7,8,
7,9,0.097625
7,10,
7,11,0.041624999999999995
7,12,
7,13,0.065375
7,14,0.052125
7,15,0.058875000000000004
7,16,0.07250000000000001
8,0,0.027750000000000004
8,1,0.02733333333333333
8,2,
8,3,
8,4,0.085375
8,5,
8,6,
8,7,0.031875
8,8,
8,9,0.04575
8,10,
8,11,0.034249999999999996
8,12,
8,13,0.050875
8,14,0.050625
8,15,0.055375
8,16,0.056875
9,0,0.038625
9,1,0.03
9,2,
9,3,
9,4,0.033625
9,5,
9,6,
9,7,0.0695
9,8,
9,9,0.034875
9,10,
9,11,0.081625
9,12,
9,13,0.046875
9,14,0.03875
9,15,0.0595
9,16,0.055624999999999994
10,0,0.03225
10,1,0.035875
10,2,
10,3,
10,4,0.016875
10,5,
10,6,
10,7,0.05325
10,8,
10,9,0.03775
10,10,
10,11,0.057874999999999996
10,12,
10,13,0.049375
10,14,0.042166666666666665
10,15,0.057875
10,16,0.066125
11,0,0.047875
11,1,0.030375
11,2,
11,3,
11,4,0.052500000000000005
11,5,
11,6,
11,7,0.0575
11,8,
11,9,0.07425000000000001
11,10,
11,11,0.032625
11,12,
11,13,0.063125
11,14,0.04650000000000001
11,15,0.040875
11,16,0.061375
12,0,0.02825
12,1,0.03675
12,2,
12,3,
12,4,0.036000000000000004
12,5,
12,6,
12,7,0.01675
12,8,
12,9,0.050875000000000004
12,10,
12,11,0.04925
12,12,
12,13,0.07375
12,14,0.07116666666666667
12,15,0.046375
12,16,0.032
13,0,0.05125
13,1,0.02325
13,2,
13,3,
13,4,0.02425
13,5,
13,6,
13,7,0.057875
13,8,
13,9,0.066625
13,10,
13,11,0.07012499999999999
13,12,
13,13,0.050375
13,14,0.05575
13,15,0.057874999999999996
13,16,0.04775
14,0,0.035124999999999997
14,1,0.047375
14,2,
14,3,
14,4,0.025625000000000002
14,5,
14,6,
14,7,0.03475
14,8,
14,9,0.018625
14,10,
14,11,0.0545
14,12,
14,13,0.041875
14,14,0.027
14,15,0.0735
14,16,0.07175000000000001
15,0,0.032
15,1,0.02425
15,2,
15,3,
15,4,0.0185
15,5,
15,6,
15,7,0.018
15,8,
15,9,0.035875000000000004
15,10,
15,11,0.05225
15,12,
15,13,0.062375
15,14,0.047875
15,15,0.04925
15,16,0.073625
16,0,0.043625000000000004
16,1,0.024625
16,2,
16,3,
16,4,0.04075
16,5,
16,6,
16,7,0.041124999999999995
16,8,
16,9,0.055375
16,10,
16,11,0.014374999999999999
16,12,
16,13,0.045625
16,14,0.038125
16,15,0.047
16,16,0.034374999999999996
17,0,0.0535
17,1,0.04416666666666667
17,2,
17,3,
17,4,0.04875
17,5,
17,6,
17,7,0.020125
17,8,
17,9,0.02675
17,10,
17,11,0.049
17,12,
17,13,0.05325
17,14,0.035125
17,15,0.052500000000000005
17,16,0.06275
18,0,0.06275
18,1,0.04425
18,2,
18,3,
18,4,0.055874999999999994
18,5,
18,6,
18,7,0.037875
18,8,
18,9,0.036375
18,10,
18,11,0.04
18,12,
18,13,0.025750000000000002
18,14,0.0415
18,15,0.042625
18,16,0.038125
19,0,0.0405
19,1,0.052375
19,2,
19,3,
19,4,0.04425
19,5,
19,6,
19,7,0.047125
19,8,
19,9,0.027749999999999997
19,10,
19,11,0.029875
19,12,
19,13,0.0325
19,14,0.022500000000000003
19,15,0.03875
19,16,0.043875
20,0,0.039875
20,1,0.036000000000000004
20,2,
20,3,
20,4,0.021374999999999998
20,5,
20,6,
20,7,0.039625
20,8,
20,9,0.04775
20,10,
20,11,0.0365
20,12,
20,13,0.048625
20,14,0.032
20,15,0.034625
20,16,0.038000000000000006
21,0,0.03075
21,1,0.03025
21,2,
21,3,
21,4,0.045875
21,5,
21,6,
21,7,0.03975
21,8,
21,9,0.04
21,10,
21,11,0.037125
21,12,
21,13,0.03275
21,14,0.033375
21,15,0.032
21,16,0.02875
22,0,0.059875000000000005
22,1,0.029500000000000002
22,2,
22,3,
22,4,0.04825
22,5,
22,6,
22,7,0.013250000000000001
22,8,
22,9,0.03975000000000001
22,10,
22,11,0.064
22,12,
22,13,0.025500000000000002
22,14,0.021875
22,15,0.04625
22,16,0.037750000000000006
23,0,0.03
23,1,0.046625
23,2,
23,3,
23,4,0.042874999999999996
23,5,
23,6,
23,7,0.042375
23,8,
23,9,0.034999999999999996
23,10,
23,11,0.03675
23,12,
23,13,0.033875
23,14,0.027749999999999997
23,15,0.030875
23,16,0.046125
24,0,0.0435
24,1,0.03075
24,2,
24,3,
24,4,0.0485
24,5,
24,6,
24,7,0.044375
24,8,
24,9,0.051750000000000004
24,10,
24,11,0.0255
24,12,
24,13,0.040499999999999994
24,14,0.02775
24,15,0.025
24,16,0.023125
25,0,0.055249999999999994
25,1,0.038125
25,2,
25,3,
25,4,0.02566666666666667
25,5,
25,6,
25,7,0.06016666666666667
25,8,
25,9,0.026625
25,10,
25,11,0.048375
25,12,
25,13,0.057749999999999996
25,14,0.043625000000000004
25,15,0.037500000000000006
25,16,0.0345
26,0,0.038125
26,1,0.03933333333333334
26,2,
26,3,
26,4,0.035125
26,5,
26,6,
26,7,0.06683333333333334
26,8,
26,9,0.058
26,10,
26,11,0.021333333333333333
26,12,
