TimeStep,Station_PM,speed
1,0,65.26315789473684
1,1,65.66666666666667
1,2,
1,3,
1,4,70.11764705882354
1,5,
1,6,
1,7,63.27777777777778
1,8,
1,9,62.526315789473685
1,10,
1,11,68.12903225806451
1,12,
1,13,67.27272727272727
1,14,67.54285714285714
1,15,66.15625
1,16,65.025
2,0,64.41176470588235
2,1,67.03846153846153
2,2,
2,3,
2,4,65.55555555555556
2,5,
2,6,
2,7,66.23809523809524
2,8,
2,9,64.5925925925926
2,10,
2,11,64.85365853658537
2,12,
2,13,69.6896551724138
2,14,69.1219512195122
2,15,66.79069767441861
2,16,67.5
3,0,64.88888888888889
3,1,64.77142857142857
3,2,
3,3,
3,4,68.52380952380952
3,5,
3,6,
3,7,63.46153846153846
3,8,
3,9,62.72
3,10,
3,11,63.64
3,12,
3,13,68.62962962962963
3,14,68.67857142857143
3,15,69.54545454545455
3,16,63.78260869565217
4,0,69.1304347826087
4,1,71.21052631578948
4,2,
4,3,
4,4,62.42857142857143
4,5,
4,6,
4,7,65.5909090909091
4,8,
4,9,72.5625
4,10,
4,11,64.29166666666667
4,12,
4,13,67.3030303030303
4,14,69.11764705882354
4,15,68.05882352941177
4,16,66.56
5,0,64.82352941176471
5,1,70.125
5,2,
5,3,
5,4,64.25
5,5,
5,6,
5,7,68.26315789473684
5,8,
5,9,62.416666666666664
5,10,
5,11,68.85
5,12,
5,13,65.6896551724138
5,14,65.40625
5,15,69.0
5,16,63.75675675675676
6,0,66.83333333333333
6,1,67.75
6,2,
6,3,
6,4,65.21212121212122
6,5,
6,6,
6,7,65.92592592592592
6,8,
6,9,65.95
6,10,
6,11,66.08333333333333
6,12,
6,13,69.72727272727273
6,14,68.79166666666667
6,15,65.25
6,16,65.14814814814815
7,0,65.17391304347827
7,1,67.5
7,2,
7,3,
7,4,67.83333333333333
7,5,
7,6,
7,7,65.96875
7,8,
7,9,65.64
7,10,
7,11,64.38095238095238
7,12,
7,13,66.54545454545455
7,14,66.44444444444444
7,15,65.76923076923077
7,16,62.62068965517241
8,0,66.16666666666667
8,1,68.76
8,2,
8,3,
8,4,66.35
8,5,
8,6,
8,7,66.5625
8,8,
8,9,66.3103448275862
8,10,
8,11,67.4090909090909
8,12,
8,13,63.03125
8,14,64.65384615384616
8,15,69.21739130434783
8,16,64.04545454545455
9,0,59.42857142857143
9,1,69.33333333333333
9,2,
9,3,
9,4,69.10526315789474
9,5,
9,6,
9,7,63.666666666666664
9,8,
9,9,64.5925925925926
9,10,
9,11,68.02564102564102
9,12,
9,13,68.38095238095238
9,14,65.56
9,15,62.63333333333333
9,16,64.0
10,0,68.3
10,1,67.48148148148148
10,2,
10,3,
10,4,70.13333333333334
10,5,
10,6,
10,7,68.66666666666667
10,8,
10,9,65.92857142857143
10,10,
10,11,65.20833333333333
10,12,
10,13,69.45161290322581
10,14,70.13793103448276
10,15,66.52173913043478
10,16,59.75
11,0,66.20833333333333
11,1,69.05263157894737
11,2,
11,3,
11,4,65.625
11,5,
11,6,
11,7,66.375
11,8,
11,9,66.24137931034483
11,10,
11,11,68.46153846153847
11,12,
11,13,69.95833333333333
11,14,70.5925925925926
11,15,71.9
11,16,67.73076923076923
12,0,64.53846153846153
12,1,66.1
12,2,
12,3,
12,4,64.58620689655173
12,5,
12,6,
12,7,66.88235294117646
12,8,
12,9,68.63636363636364
12,10,
12,11,63.714285714285715
12,12,
12,13,65.27777777777777
12,14,66.0
12,15,67.96
12,16,66.51851851851852
13,0,70.32
13,1,70.4074074074074
13,2,
13,3,
13,4,66.94736842105263
13,5,
13,6,
13,7,67.92592592592592
13,8,
13,9,65.86363636363636
13,10,
13,11,70.77272727272727
13,12,
13,13,69.08695652173913
13,14,67.41666666666667
13,15,64.47368421052632
13,16,64.0
14,0,69.55
14,1,70.88888888888889
14,2,
14,3,
14,4,68.4090909090909
14,5,
14,6,
14,7,67.21052631578948
14,8,
14,9,67.3157894736842
14,10,
14,11,66.18181818181819
14,12,
14,13,68.26315789473684
14,14,68.5909090909091
14,15,71.3157894736842
14,16,63.63157894736842
15,0,63.857142857142854
15,1,68.1875
15,2,
15,3,
15,4,67.51724137931035
15,5,
15,6,
15,7,73.0
15,8,
15,9,66.80952380952381
15,10,
15,11,64.3076923076923
15,12,
15,13,68.57142857142857
15,14,72.26315789473684
15,15,68.29166666666667
15,16,65.70833333333333
16,0,67.8
16,1,66.75
16,2,
16,3,
16,4,69.66666666666667
16,5,
16,6,
16,7,65.89285714285714
16,8,
16,9,65.65384615384616
16,10,
16,11,66.21428571428571
16,12,
16,13,68.63157894736842
16,14,69.95652173913044
16,15,71.0
16,16,68.35
17,0,67.48148148148148
17,1,68.91304347826087
17,2,
17,3,
17,4,61.36363636363637
17,5,
17,6,
17,7,65.10526315789474
17,8,
17,9,72.04545454545455
17,10,
17,11,66.6
17,12,
17,13,67.42857142857143
17,14,67.84615384615384
17,15,66.0
17,16,66.61904761904762
18,0,61.111111111111114
18,1,68.6086956521739
18,2,
18,3,
18,4,63.166666666666664
18,5,
18,6,
18,7,64.04761904761905
18,8,
18,9,65.1
18,10,
18,11,70.56
18,12,
18,13,66.52631578947368
18,14,66.0909090909091
18,15,66.56
18,16,64.96
19,0,63.90625
19,1,62.13636363636363
19,2,
19,3,
19,4,69.8076923076923
19,5,
19,6,
19,7,63.125
19,8,
19,9,70.30434782608695
19,10,
19,11,66.78571428571429
19,12,
19,13,72.95238095238095
19,14,66.2
19,15,67.64285714285714
19,16,63.5
20,0,69.76923076923077
20,1,66.0909090909091
20,2,
20,3,
20,4,69.1
20,5,
20,6,
20,7,70.82352941176471
20,8,
20,9,62.80952380952381
20,10,
20,11,67.06666666666666
20,12,
20,13,69.4074074074074
20,14,72.6842105263158
20,15,67.96
20,16,65.6
21,0,66.92307692307692
21,1,74.38461538461539
21,2,
21,3,
21,4,65.47619047619048
21,5,
21,6,
21,7,68.625
21,8,
21,9,70.34782608695652
21,10,
21,11,60.31818181818182
21,12,
21,13,71.21739130434783
21,14,71.86666666666666
21,15,69.51851851851852
21,16,67.88
22,0,64.11764705882354
22,1,67.52941176470588
22,2,
22,3,
22,4,66.83333333333333
22,5,
22,6,
22,7,61.642857142857146
22,8,
22,9,67.6896551724138
22,10,
22,11,70.08333333333333
22,12,
22,13,64.05
22,14,66.0909090909091
22,15,69.78260869565217
22,16,66.51851851851852
23,0,64.23076923076923
23,1,63.666666666666664
23,2,
23,3,
23,4,66.58333333333333
23,5,
23,6,
23,7,66.25
23,8,
23,9,60.333333333333336
23,10,
23,11,65.9090909090909
23,12,
23,13,71.88
23,14,65.8
23,15,63.54545454545455
23,16,63.869565217391305
24,0,62.8421052631579
24,1,65.5
24,2,
24,3,
24,4,67.26666666666667
24,5,
24,6,
24,7,62.15
24,8,
24,9,62.24
24,10,
24,11,71.33333333333333
24,12,
24,13,64.91304347826087
24,14,70.58823529411765
24,15,70.16666666666667
24,16,64.23076923076923
25,0,64.57894736842105
25,1,64.6875
25,2,
25,3,
25,4,66.6470588235294
25,5,
25,6,
25,7,70.0
25,8,
25,9,63.23076923076923
25,10,
25,11,65.94444444444444
25,12,
25,13,68.61290322580645
25,14,65.8125
25,15,69.14285714285714
25,16,64.34782608695652
26,0,63.125
26,1,66.76190476190476
26,2,
26,3,
26,4,64.14285714285714
26,5,
26,6,
26,7,63.857142857142854
26,8,
26,9,67.35714285714286
26,10,
26,11,66.6923076923077
26,12,
26,13,66.0
26,14,69.15384615384616
26,15,68.79310344827586
26,16,66.47058823529412
27,0,66.0
27,1,67.0
27,2,
27,3,
27,4,68.15
27,5,
27,6,
27,7,62.523809523809526
27,8,
27,9,67.63157894736842
27,10,
27,11,64.1875
27,12,
27,13,68.68
27,14,66.22727272727273
