ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4,Station,Count
715898,5,S,7,37,40032.0,.71,117.28,33.880183,-118.021787,0.43,ML,3,PHOEBE,2029,,,,,
715915,5,N,7,37,52526.0,5.5,122.133,33.924353,-118.084803,0.62,ML,3,TINA,2026,,,,,
715916,5,S,7,37,52526.0,5.5,122.07,33.924281,-118.084952,0.71,ML,3,TINA,2026,,,,,
715918,5,N,7,37,52526.0,6.2,122.833,33.93311,-118.091005,0.615,ML,3,ORR - DAY,2579,,,,,
715920,5,S,7,37,52526.0,6.64,123.21,33.938544,-118.094941,1.15,ML,4,S OF 605,2296,,,,,
715929,5,S,7,37,19766.0,9.5,126.07,33.971707,-118.123095,0.47,ML,4,GUATEMALA,2023,,,,,
715930,5,N,7,37,19766.0,9.5,126.133,33.971763,-118.122905,0.505,ML,4,GUATEMALA,2023,,,,,
715933,5,N,7,37,14974.0,10.33,126.963,33.981839,-118.130679,0.425,ML,4,GREENWOOD,2610,,,,,
715938,5,N,7,37,14974.0,12.18,128.813,34.002541,-118.150997,0.545,ML,4,GASPAR,2021,,,,715938.0,2016.0
715944,5,N,7,37,14974.0,13.35,129.983,34.013676,-118.166091,0.323,ML,4,FERRIS,2537,,,,,
715947,5,S,7,37,14974.0,13.67,130.24,34.015325,-118.17127,0.495,ML,3,S OF 710,2536,,,,715947.0,2016.0
715996,5,S,7,37,44000.0,37.3,153.87,34.243318,-118.42108,0.275,ML,6,OSBORNE 1,3486,,,,,
716007,5,N,7,37,,R46.77,163.18,34.341625,-118.526002,1.75,ML,5,WELDON CANYON,2088,,,,,
716010,5,S,7,37,69088.0,R49.5,165.847,34.368149,-118.55885,0.6,ML,4,S OF WABUSKA,2089,,,,,
716016,5,S,7,37,69088.0,R54.2,170.547,34.431273,-118.588555,0.65,ML,4,RYE CANYON,4379,,,,,
716017,5,N,7,37,69088.0,R54.2,170.61,34.43153,-118.588374,0.53,ML,4,RYE CANYON,4379,,,,,
716023,5,N,7,37,,R66.1,182.44,34.571045,-118.689102,5.0,ML,4,TEMPLIN,4618,,,,716023.0,1152.0
716028,10,E,7,37,44000.0,S.52,16.759,34.055167,-118.216535,0.291,ML,3,ECHANDIA,2092,,,,,
716032,10,W,7,37,44000.0,R6.73,4.575,34.030891,-118.411427,0.38,ML,4,MOTOR,2199,,,,,
716036,10,E,7,37,44000.0,R8.36,6.205,34.034311,-118.384884,0.38,ML,5,CATTARAUGUS,2202,,,,,
716047,10,E,7,37,44000.0,R10.7,8.545,34.034363,-118.345701,0.265,ML,4,HARCOURT,2200,,,,,
716050,10,E,7,37,44000.0,R11.06,8.905,34.034677,-118.339444,0.42,ML,4,WEST,2204,,,,,
716057,10,E,7,37,44000.0,R12.58,10.425,34.036953,-118.313131,0.25,ML,4,GRAMERCY,2239,,,,,
716063,10,W,7,37,44000.0,R13.53,11.375,34.037129,-118.296691,0.225,ML,4,BUDLONG,2466,,,,,
716067,10,E,7,37,44000.0,18.53,17.03,34.054801,-118.211859,0.125,ML,3,STATE,2484,,,,,
