TimeStep,Station_Number,k_t
1.0,294.0,0.017805338
1.0,181.0,0.09959207
1.0,152.0,0.29686528
1.0,118.0,0.93738234
1.0,286.0,0.00888418
1.0,281.0,0.0044386256
1.0,276.0,-0.00068757124
1.0,272.0,-0.00590829
1.0,258.0,-0.037938327
1.0,256.0,-0.044684745
1.0,252.0,-0.059810214
1.0,224.0,-0.1502258
1.0,216.0,-0.12554792
1.0,208.0,-0.07499262
1.0,207.0,-0.06784047
1.0,201.0,-0.025188606
1.0,192.0,0.03247946
1.0,186.0,0.06845288
1.0,173.0,0.15593591
1.0,144.0,0.3556524
1.0,124.0,0.7599882
1.0,122.0,0.8252392
1.0,109.0,0.79624945
1.0,107.0,0.66433203
1.0,97.0,0.35461396
1.0,89.0,0.22085895
1.0,74.0,0.1031502
1.0,136.0,0.45598367
1.0,99.0,0.39693394
1.0,79.0,0.16538371
1.0,199.0,-0.011636989
1.0,297.0,0.023059327
1.0,23.0,-0.75225544
1.0,0.0,-0.50063527
1.0,17.0,-0.29641584
1.0,5.0,-1.1418074
1.0,12.0,-0.26419804
1.0,7.0,-1.3179852
1.0,10.0,-0.3953302
1.0,45.0,-0.6168175
1.0,157.0,0.268413
1.0,175.0,0.14091119
1.0,247.0,-0.08123988
1.0,234.0,-0.13659516
1.0,268.0,-0.012590403
1.0,264.0,-0.021111825
1.0,226.0,-0.15114512
1.0,229.0,-0.1488031
1.0,212.0,-0.10235392
1.0,196.0,0.007833125
1.0,220.0,-0.14200985
1.0,170.0,0.17928682
1.0,148.0,0.32289556
1.0,77.0,0.14759736
1.0,161.0,0.24460332
1.0,132.0,0.5330765
1.0,128.0,0.6350219
1.0,117.0,0.957814
1.0,92.0,0.25981456
1.0,69.0,-0.03248643
1.0,65.0,-0.19645183
1.0,22.0,-0.6234114
1.0,52.0,-0.7725335
1.0,60.0,-0.43463778
1.0,56.0,-0.6215005
1.0,58.0,-0.5280861
1.0,75.0,0.12070817
2.0,294.0,0.051867634
2.0,181.0,0.16060911
2.0,152.0,0.35515612
2.0,118.0,1.0893977
2.0,286.0,0.03625707
2.0,281.0,0.028861176
2.0,276.0,0.020622954
2.0,272.0,0.012519948
2.0,258.0,-0.032044567
2.0,256.0,-0.040540315
2.0,252.0,-0.058621578
2.0,224.0,-0.11801012
2.0,216.0,-0.07409271
2.0,208.0,-0.009610152
2.0,207.0,-0.0012177359
