TimeStep,Station_Number,k_x
1.0,294.0,-0.061359882
1.0,181.0,0.008615129
1.0,152.0,-0.0292142
1.0,118.0,-0.07652843
1.0,286.0,-0.04626145
1.0,281.0,-0.04101068
1.0,276.0,-0.037002895
1.0,272.0,-0.03430642
1.0,258.0,-0.027107444
1.0,256.0,-0.026202872
1.0,252.0,-0.024278358
1.0,224.0,0.010521214
1.0,216.0,0.02739589
1.0,208.0,0.039047703
1.0,207.0,0.03976831
1.0,201.0,0.03997377
1.0,192.0,0.028930642
1.0,186.0,0.017581534
1.0,173.0,0.003067866
1.0,144.0,-0.048992023
1.0,124.0,-0.14177231
1.0,122.0,-0.14234748
1.0,109.0,0.31646314
1.0,107.0,0.2637058
1.0,97.0,0.0019712336
1.0,89.0,-0.030678336
1.0,74.0,-0.05960662
1.0,136.0,-0.07418202
1.0,99.0,0.026732642
1.0,79.0,-0.05215857
1.0,199.0,0.0385325
1.0,297.0,-0.07090582
1.0,23.0,0.44691646
1.0,0.0,-0.32449937
1.0,17.0,0.12292886
1.0,5.0,0.5756517
1.0,12.0,0.10952933
1.0,7.0,0.560173
1.0,10.0,0.171156
1.0,45.0,-0.3537951
1.0,157.0,-0.015129911
1.0,175.0,0.0030016191
1.0,247.0,-0.021353938
1.0,234.0,-0.00783762
1.0,268.0,-0.031951733
1.0,264.0,-0.029879723
1.0,226.0,0.0063708536
1.0,229.0,0.00053143874
1.0,212.0,0.03437069
1.0,196.0,0.03516806
1.0,220.0,0.019111164
1.0,170.0,0.004261771
1.0,148.0,-0.039255727
1.0,77.0,-0.055979297
1.0,161.0,-0.0041076895
1.0,132.0,-0.093623824
1.0,128.0,-0.118949056
1.0,117.0,-0.038075358
1.0,92.0,-0.02446193
1.0,69.0,-0.05724239
1.0,65.0,-0.048117258
1.0,22.0,0.35442448
1.0,52.0,-1.2360473
1.0,60.0,-0.054810174
1.0,56.0,-0.20531005
1.0,58.0,-0.093752876
1.0,75.0,-0.058743764
2.0,294.0,-0.059261486
2.0,181.0,0.0027831253
2.0,152.0,-0.036360048
2.0,118.0,-0.096763045
2.0,286.0,-0.045083217
2.0,281.0,-0.03982941
2.0,276.0,-0.035548963
2.0,272.0,-0.032485835
2.0,258.0,-0.02340297
2.0,256.0,-0.022232387
2.0,252.0,-0.019869734
2.0,224.0,0.008223992
2.0,216.0,0.021130443
2.0,208.0,0.031135742
2.0,207.0,0.031859815
2.0,201.0,0.03275439
2.0,192.0,0.023128306
2.0,186.0,0.012042087
2.0,173.0,-0.0040247887
2.0,144.0,-0.06054931
2.0,124.0,-0.17492689
2.0,122.0,-0.17267352
2.0,109.0,0.39266014
2.0,107.0,0.34296432
2.0,97.0,0.027842317
2.0,89.0,-0.015670326
2.0,74.0,-0.029809386
2.0,136.0,-0.0943686
2.0,99.0,0.05553029
2.0,79.0,-0.030945064
2.0,199.0,0.03167319
2.0,297.0,-0.06814256
2.0,23.0,0.35362482
2.0,0.0,1.8697749
2.0,17.0,0.109621316
2.0,5.0,-0.021900177
2.0,12.0,0.19595389
2.0,7.0,0.43545735
2.0,10.0,0.41247982
2.0,45.0,-0.31025702
2.0,157.0,-0.021331191
2.0,175.0,-0.0037563127
2.0,247.0,-0.01669725
2.0,234.0,-0.0053451136
2.0,268.0,-0.029658474
2.0,264.0,-0.027037863
2.0,226.0,0.0051635057
2.0,229.0,0.0008760169
2.0,212.0,0.026901372
2.0,196.0,0.028833581
2.0,220.0,0.014668278
2.0,170.0,-0.0031095743
2.0,148.0,-0.048168145
2.0,77.0,-0.031196998
2.0,161.0,-0.010477422
2.0,132.0,-0.11996986
2.0,128.0,-0.15111451
2.0,117.0,-0.05548197
2.0,92.0,-0.005803272
2.0,69.0,-0.023416974
2.0,65.0,-0.017675456
2.0,22.0,0.2808794
2.0,52.0,-1.2958971
2.0,60.0,-0.03520263
2.0,56.0,-0.1881443
2.0,58.0,-0.077362865
2.0,75.0,-0.030501775
3.0,294.0,-0.05608622
3.0,181.0,-0.002123516
3.0,152.0,-0.046469506
3.0,118.0,-0.0930031
3.0,286.0,-0.043167636
3.0,281.0,-0.03788539
3.0,276.0,-0.03324754
3.0,272.0,-0.029757433
3.0,258.0,-0.019094542
3.0,256.0,-0.017808992
3.0,252.0,-0.015403271
3.0,224.0,0.0038301032
3.0,216.0,0.013563439
3.0,208.0,0.02267996
3.0,207.0,0.023484407
3.0,201.0,0.025491226
3.0,192.0,0.017909152
3.0,186.0,0.0073827896
3.0,173.0,-0.010525582
3.0,144.0,-0.0770897
3.0,124.0,-0.1916093
3.0,122.0,-0.18125819
3.0,109.0,0.47433656
3.0,107.0,0.44341367
3.0,97.0,0.06353332
