TimeStep,Station_Number,q_x
1.0,294.0,-0.8906791
1.0,181.0,0.27563134
1.0,152.0,0.13750187
1.0,118.0,-1.7132483
1.0,286.0,-0.6698255
1.0,281.0,-0.57627875
1.0,276.0,-0.49408764
1.0,272.0,-0.43360895
1.0,258.0,-0.24409541
1.0,256.0,-0.21737203
1.0,252.0,-0.16127793
1.0,224.0,0.42211953
1.0,216.0,0.5866505
1.0,208.0,0.6597132
1.0,207.0,0.6600553
1.0,201.0,0.6211263
1.0,192.0,0.468955
1.0,186.0,0.35242352
1.0,173.0,0.23832949
1.0,144.0,0.02896604
1.0,124.0,-2.9593122
1.0,122.0,-3.1474135
1.0,109.0,5.98991
1.0,107.0,4.2988048
1.0,97.0,0.26096997
1.0,89.0,-0.1323999
1.0,74.0,-0.8117726
1.0,136.0,-0.5419028
1.0,99.0,0.43010372
1.0,79.0,-0.6595688
1.0,199.0,0.5945174
1.0,297.0,-1.0163063
1.0,23.0,13.122154
1.0,0.0,3.1414123
1.0,17.0,-1.2632079
1.0,5.0,96.19277
1.0,12.0,2.1907074
1.0,7.0,-27.712763
1.0,10.0,-6.044545
1.0,45.0,-13.119905
1.0,157.0,0.17353188
1.0,175.0,0.23672993
1.0,247.0,-0.082934916
1.0,234.0,0.18067434
1.0,268.0,-0.3768129
1.0,264.0,-0.3228498
1.0,226.0,0.37418768
1.0,229.0,0.3009234
1.0,212.0,0.6380954
1.0,196.0,0.54531
1.0,220.0,0.51187384
1.0,170.0,0.2469878
1.0,148.0,0.10482909
1.0,77.0,-0.745487
1.0,161.0,0.21140859
1.0,132.0,-1.1963891
1.0,128.0,-2.0808268
1.0,117.0,-0.81458426
1.0,92.0,-0.0012588799
1.0,69.0,-0.69081354
1.0,65.0,-0.38437968
1.0,22.0,7.8245254
1.0,52.0,-73.43741
1.0,60.0,-0.10544342
1.0,56.0,-0.90073943
1.0,58.0,-0.3462481
1.0,75.0,-0.79972255
2.0,294.0,-0.6975623
2.0,181.0,0.16789395
2.0,152.0,-0.600027
2.0,118.0,-2.3069334
2.0,286.0,-0.4387123
2.0,281.0,-0.31315014
2.0,276.0,-0.19653066
2.0,272.0,-0.109169185
2.0,258.0,0.11867279
2.0,256.0,0.1376802
2.0,252.0,0.16490285
2.0,224.0,0.3173341
2.0,216.0,0.44711006
2.0,208.0,0.5328251
