TimeStep,Station_Number,v_x
1.0,294.0,0.030067388
1.0,181.0,0.021284712
1.0,152.0,0.04364063
1.0,118.0,0.08536981
1.0,286.0,0.007213995
1.0,281.0,-0.005215859
1.0,276.0,-0.013667459
1.0,272.0,-0.016638849
1.0,258.0,-0.01287066
1.0,256.0,-0.012394112
1.0,252.0,-0.012449497
1.0,224.0,-0.055959694
1.0,216.0,-0.058165267
1.0,208.0,-0.04346959
1.0,207.0,-0.040893342
1.0,201.0,-0.02440459
1.0,192.0,-0.0007389672
1.0,186.0,0.012671802
1.0,173.0,0.025623143
1.0,144.0,0.056644045
1.0,124.0,0.15801813
1.0,122.0,0.16082974
1.0,109.0,-0.28779814
1.0,107.0,-0.206697
1.0,97.0,0.005380288
1.0,89.0,0.020599674
1.0,74.0,0.029584294
1.0,136.0,0.07874658
1.0,99.0,-0.008037674
1.0,79.0,0.02896002
1.0,199.0,-0.018887466
1.0,297.0,0.03883452
1.0,23.0,-0.985492
1.0,0.0,1.5319469
1.0,17.0,0.1963343
1.0,5.0,-0.7330892
1.0,12.0,0.06380786
1.0,7.0,-0.60630417
1.0,10.0,-0.035756975
1.0,45.0,0.17940912
1.0,157.0,0.035214297
1.0,175.0,0.02586413
1.0,247.0,-0.014958404
1.0,234.0,-0.035806797
1.0,268.0,-0.016797546
1.0,264.0,-0.015371019
1.0,226.0,-0.05283098
1.0,229.0,-0.046938486
1.0,212.0,-0.05246754
1.0,196.0,-0.010847051
1.0,220.0,-0.059366867
1.0,170.0,0.024291346
1.0,148.0,0.049858898
1.0,77.0,0.029935371
1.0,161.0,0.028499715
1.0,132.0,0.09883791
1.0,128.0,0.1278798
1.0,117.0,0.04331038
1.0,92.0,0.018168949
1.0,69.0,0.023660509
1.0,65.0,0.015408691
1.0,22.0,-0.6406071
1.0,52.0,0.52406603
1.0,60.0,0.010131836
1.0,56.0,0.082128204
1.0,58.0,0.023539726
1.0,75.0,0.029976286
2.0,294.0,0.021555442
2.0,181.0,0.025837362
2.0,152.0,0.049657896
2.0,118.0,0.09248687
2.0,286.0,0.0014786087
2.0,281.0,-0.0052295644
2.0,276.0,-0.0077788495
2.0,272.0,-0.008221522
2.0,258.0,-0.010129835
2.0,256.0,-0.011021655
2.0,252.0,-0.013524754
2.0,224.0,-0.051280126
2.0,216.0,-0.04867449
2.0,208.0,-0.03372928
2.0,207.0,-0.031355567
2.0,201.0,-0.016385486
2.0,192.0,0.0052801706
2.0,186.0,0.017706724
2.0,173.0,0.030562686
2.0,144.0,0.06985395
2.0,124.0,0.19260584
2.0,122.0,0.17868114
2.0,109.0,-0.38459784
2.0,107.0,-0.32222813
2.0,97.0,-0.011072958
2.0,89.0,0.012644761
2.0,74.0,0.011685668
2.0,136.0,0.10707463
2.0,99.0,-0.029301412
2.0,79.0,0.015416373
2.0,199.0,-0.011372109
2.0,297.0,0.03082912
2.0,23.0,-0.83727014
2.0,0.0,-0.5001154
2.0,17.0,0.32999077
2.0,5.0,-0.13179998
2.0,12.0,-0.05326739
2.0,7.0,-0.29742634
2.0,10.0,-0.4395848
2.0,45.0,0.115693726
2.0,157.0,0.0394101
2.0,175.0,0.030610668
2.0,247.0,-0.018228292
2.0,234.0,-0.03824734
2.0,268.0,-0.008304087
2.0,264.0,-0.008608347
2.0,226.0,-0.04976914
2.0,229.0,-0.046241034
2.0,212.0,-0.042334493
2.0,196.0,-0.0040236693
2.0,220.0,-0.051785186
2.0,170.0,0.029390464
2.0,148.0,0.058796234
2.0,77.0,0.014202141
2.0,161.0,0.032584894
2.0,132.0,0.14022294
2.0,128.0,0.18064955
2.0,117.0,0.05115622
2.0,92.0,0.00811486
2.0,69.0,0.006330998
2.0,65.0,0.0011114655
2.0,22.0,-0.47852147
2.0,52.0,0.6864325
2.0,60.0,-0.008926267
2.0,56.0,0.04201673
2.0,58.0,-0.0081583485
